受访者ID,问题1: 总体影响,问题2: 影响权衡,问题3-1: Mendenhall Glacier拥挤,问题3-2: 市中心车辆拥堵,问题3-3: 市中心人行道拥挤,问题3-4: 观鲸船交通及浪涌,问题3-5: 市中心外车辆拥堵,问题3-6: 观光飞行噪音,问题3-7: 步道拥挤,问题3-8: 邮轮废气排放
1,消极影响,不适用,没有受影响,非常受影响,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响
2,没有影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响
3,既有积极和消极影响,两者相,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响
4,既有积极和消极影响,消极影,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响
5,积极影响,不适用,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,非常受影响,有些受影响,没有受影响
6,积极影响,不适用,有些受影响,有些受影响,没有受影响,非常受影响,有些受影响,非常受影响,有些受影响,没有受影响
7,积极影响,不适用,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
8,既有积极和消极影响,积极影,非常受影响,有些受影响,有些受影响,非常受影响,非常受影响,有些受影响,非常受影响,有些受影响
9,既有积极和消极影响,两者相,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响
10,既有积极和消极影响,两者相,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,非常受影响,有些受影响,没有受影响
11,积极影响,不适用,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响
12,没有影响,不适用,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
13,既有积极和消极影响,积极影,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
14,积极影响,不适用,没有受影响,非常受影响,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,有些受影响
15,积极影响,不适用,有些受影响,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响
16,积极影响,不适用,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响
17,积极影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响
18,既有积极和消极影响,两者相,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响
19,既有积极和消极影响,两者相,没有受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
20,积极影响,不适用,有些受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
21,既有积极和消极影响,不知道,非常受影响,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响
22,积极影响,不适用,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
23,积极影响,不适用,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响
24,消极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
25,既有积极和消极影响,两者相,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响
26,既有积极和消极影响,消极影,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
