Respondent_ID,Glacier_Q1: Crowding pressure,Glacier_Q2: Overcapacity agreement,Glacier_Q3: Visitor limit support,Tourist_Q1: Sidewalk crowding,Tourist_Q2: Traffic congestion,Tourist_Q3: Cruise frequency,Carbon_Q1: Cruise emission concern,Carbon_Q2: Clean energy support,Carbon_Q3: Flight emission impact
1,2,2,5,2,3,2,2,5,2
2,1,2,4,2,3,2,2,3,2
3,1,3,2,3,1,3,3,1,2
4,1,2,3,3,3,1,2,5,3
5,3,2,2,2,3,4,3,3,3
6,3,3,3,2,2,4,2,4,3
7,3,1,3,2,2,2,1,1,3
8,1,2,2,2,2,3,3,4,3
9,1,1,4,1,4,2,2,3,2
10,1,2,4,1,2,2,3,5,3
11,3,2,4,1,4,4,3,5,3
12,1,3,1,1,4,2,3,5,3
13,1,1,2,1,1,3,3,1,2
14,3,1,5,3,3,3,3,3,3
15,3,4,3,3,2,3,2,3,2
16,3,4,2,3,2,1,3,2,3
17,3,3,5,1,3,4,2,5,1
18,2,2,3,1,1,3,3,5,1
19,2,1,2,3,4,3,3,5,3
20,3,3,5,1,2,2,2,5,3
21,1,2,3,3,1,3,3,5,3
22,3,3,4,1,2,4,3,4,3
23,3,1,2,3,1,4,2,5,2
24,2,2,1,3,4,3,3,5,1
25,2,2,2,2,2,2,3,5,2
26,1,2,4,3,3,4,3,5,1
27,3,3,2,3,2,4,1,1,3
28,2,3,2,3,1,1,2,4,3
29,2,4,4,1,3,4,2,1,2
30,3,1,2,2,2,1,2,5,3
31,1,2,5,3,3,3,3,5,2
32,3,1,3,1,2,2,3,4,3
33,3,1,4,1,2,4,2,5,3
34,1,2,5,3,1,4,3,5,1
35,1,2,5,2,2,2,3,5,3
36,1,1,3,3,3,2,3,5,1
37,3,2,4,3,3,2,3,5,1
38,3,3,3,1,3,4,1,5,2
39,1,2,5,3,3,2,3,4,2
40,2,4,4,2,3,2,3,5,2
41,3,1,4,1,1,3,3,5,1
42,2,2,3,3,2,2,1,3,3
43,3,3,4,2,2,2,3,5,3
44,1,2,3,3,3,3,3,5,2
45,3,2,2,1,1,4,2,3,3
46,1,3,3,2,2,3,2,5,3
47,3,4,4,1,4,4,3,5,3
48,2,2,5,2,2,3,3,4,3
49,2,2,2,3,2,3,3,5,1
50,3,2,5,1,4,4,3,4,3
51,1,2,2,1,2,3,3,3,1
52,1,1,4,1,2,4,3,5,2
53,1,2,2,1,3,2,3,4,1
54,1,2,3,1,1,1,3,4,3
55,1,1,1,3,2,4,2,5,2
56,1,3,4,3,2,1,1,4,3
57,3,4,3,1,2,3,2,5,2
58,3,4,4,2,2,4,3,4,3
59,3,2,4,1,2,4,3,5,1
60,3,2,3,1,2,3,1,4,1
61,2,2,2,3,4,2,3,5,3
62,3,3,1,3,2,2,3,3,3
63,1,4,3,1,2,4,3,5,2
64,3,4,4,3,2,4,2,5,3
65,3,3,4,1,4,3,2,4,1
66,2,2,3,2,2,4,3,4,3
67,3,3,4,1,3,4,3,4,3
68,1,3,5,3,3,4,1,4,1
69,3,1,4,1,3,2,3,4,2
70,1,3,4,2,3,1,2,3,1
71,1,2,4,2,2,3,2,5,3
72,3,2,4,3,2,1,2,4,2
73,3,3,5,1,3,3,3,3,2
74,1,2,5,1,1,3,3,1,2
75,1,1,1,3,1,4,3,3,2
76,1,1,4,3,1,3,2,5,2
77,1,4,4,3,3,1,1,5,3
78,3,1,3,1,2,3,3,4,3
79,3,2,4,1,1,3,3,4,2
80,3,3,2,2,2,3,1,4,3
81,1,2,3,3,4,4,2,4,2
82,1,1,5,2,4,2,2,3,3
83,3,2,4,2,2,3,3,5,2
84,3,3,2,2,1,3,3,3,2
85,3,2,2,1,2,3,2,5,3
86,3,3,4,3,2,3,2,5,3
87,1,4,3,1,3,4,3,4,3
88,1,4,5,2,2,3,3,4,2
89,1,4,1,2,2,4,3,5,1
90,2,3,4,1,2,2,3,5,3
91,3,4,2,1,2,2,3,1,2
92,1,2,3,1,1,2,1,5,3
93,1,3,3,3,3,3,3,4,3
94,2,3,4,3,2,3,2,4,1
95,1,1,4,1,3,4,3,4,3
96,2,2,5,2,2,2,2,4,3
97,2,2,4,3,2,4,1,5,3
98,2,3,5,3,2,3,3,4,3
99,3,3,3,3,2,4,3,5,3
100,3,4,4,1,2,4,3,4,3
101,3,3,5,3,1,3,3,5,2
102,1,3,1,3,2,4,2,4,3
103,3,3,2,3,3,2,1,5,3
104,2,4,2,3,2,3,3,5,3
105,1,4,1,3,2,4,3,5,3
106,3,2,5,2,3,3,3,5,2
107,2,3,4,3,1,4,2,3,1
108,1,3,3,1,1,4,3,5,3
109,3,2,3,3,3,2,3,2,1
110,3,2,5,2,1,4,2,1,2
111,3,4,2,1,3,2,2,4,3
112,3,2,4,1,3,4,3,5,3
113,1,2,4,2,3,4,2,5,3
114,1,4,4,3,1,2,3,4,3
115,1,1,3,3,2,3,3,5,2
116,1,1,3,1,3,4,2,5,3
117,1,4,5,1,2,3,2,4,1
118,3,3,2,1,2,4,3,3,3
119,1,2,4,2,4,2,3,4,3
120,2,2,5,1,1,3,3,5,2
121,1,3,2,2,2,2,3,4,3
122,1,3,1,3,2,2,3,5,3
123,3,3,2,2,1,3,3,5,2
124,3,2,2,1,2,1,3,3,1
125,3,2,3,3,1,3,2,5,2
126,2,3,3,1,2,1,2,5,2
127,1,2,5,3,2,4,2,5,2
128,1,2,4,2,3,3,3,3,1
129,3,4,4,3,1,3,1,4,3
130,2,3,4,2,2,3,2,4,3
131,2,2,3,1,3,3,2,4,3
132,3,1,4,3,4,2,2,5,3
133,3,2,5,1,2,4,1,4,2
134,3,2,4,1,2,4,3,5,2
135,1,4,3,1,2,2,3,5,2
136,3,3,5,3,1,3,2,4,3
137,2,2,2,2,4,1,2,2,2
138,1,3,4,3,2,2,2,5,3
139,3,3,4,1,3,1,3,5,2
140,1,3,3,1,1,2,3,5,3
141,1,4,2,2,2,4,3,5,3
142,3,3,4,1,2,4,1,2,3
143,2,3,3,2,2,2,3,4,3
144,3,3,3,1,3,3,3,4,1
145,3,4,4,3,2,4,3,4,1
146,3,1,2,1,2,3,3,5,2
